ax(g),ay(g),az(g),wx(deg/s),wy(deg/s),wz(deg/s),AngleX(deg),AngleY(deg),AngleZ(deg)
0.1597,-0.1646,1.0288,-12.5732,-42.1753,-24.0479,-4.8505,-6.438,-56.4368
0.1528,-0.1206,1.0039,-8.3618,-41.8701,-23.4375,-4.8944,-6.6577,-56.5411
0.1846,-0.2212,0.9727,2.6855,-42.7246,-6.7139,-4.8889,-6.8719,-56.618
0.188,-0.2251,1.0039,3.9063,-44.7998,8.667,-4.8724,-7.0862,-56.5851
0.1567,-0.1416,1.02,2.8076,-45.166,11.7188,-4.8724,-7.3114,-56.5027
0.1279,-0.0586,1.0176,0.9766,-45.2881,5.9204,-4.8669,-7.5311,-56.4423
0.1079,-0.0317,1.0254,-3.54,-45.5933,-1.6479,-4.8779,-7.7563,-56.4368
0.1064,-0.0718,1.0313,-7.6904,-46.7529,-5.188,-4.9109,-7.9871,-56.4423
0.1177,-0.1177,1.0327,-8.9111,-47.9736,-2.9297,-4.9548,-8.2288,-56.4423
0.1206,-0.1138,1.0322,-8.3618,-49.9268,-1.5869,-4.9988,-8.476,-56.4313
0.1152,-0.0815,1.043,-7.5073,-51.2695,-3.8452,-5.0372,-8.7286,-56.4423
0.0952,-0.0713,1.0605,-8.1787,-52.1851,-7.9346,-5.0757,-8.9868,-56.4532
0.0752,-0.0967,1.0767,-10.498,-53.5278,-11.0474,-5.1251,-9.2615,-56.4752
0.0537,-0.1016,1.0796,-11.7798,-54.9316,-13.3667,-5.1746,-9.5361,-56.5137
0.0503,-0.0762,1.0684,-11.9629,-55.9692,-15.1978,-5.224,-9.8163,-56.5851
0.0791,-0.0503,1.0571,-10.5591,-57.8003,-15.7471,-5.2679,-10.1074,-56.64
0.1255,-0.0537,1.0596,-9.9487,-60.0586,-13.1226,-5.3174,-10.415,-56.684
0.1494,-0.0552,1.0562,-10.437,-61.8286,-8.2397,-5.3613,-10.7227,-56.7059
0.1543,-0.0454,1.0439,-10.376,-63.3545,-2.8687,-5.4163,-11.0358,-56.7224
0.1592,-0.0342,1.0337,-8.667,-65.1245,0.4883,-5.4657,-11.3544,-56.6949
0.1631,-0.0327,1.0435,-8.7891,-67.3828,1.9531,-5.5206,-11.6895,-56.6565
0.167,-0.0562,1.0601,-11.1084,-69.397,2.6855,-5.5811,-12.03,-56.6071
0.1646,-0.0962,1.063,-12.4512,-71.5332,4.0894,-5.6525,-12.3761,-56.5741
0.1533,-0.1196,1.0576,-11.9019,-74.5239,6.3477,-5.7239,-12.7386,-56.5137
0.1313,-0.1177,1.0679,-10.2539,-77.5757,7.8125,-5.8008,-13.1177,-56.4313
0.1118,-0.105,1.0928,-10.0708,-80.5054,6.5918,-5.8667,-13.5077,-56.3544
0.0986,-0.1025,1.1245,-12.3291,-83.313,3.8452,-5.9381,-13.9142,-56.3049
0.084,-0.1021,1.1465,-16.9678,-86.3037,0.3662,-6.026,-14.3372,-56.25
0.0659,-0.1016,1.167,-21.1182,-89.1113,-4.3335,-6.1359,-14.7766,-56.2115
0.0762,-0.1323,1.1763,-19.9585,-91.3086,-6.6528,-6.2457,-15.2325,-56.1951
0.0991,-0.1455,1.1836,-18.4326,-94.7266,-6.6528,-6.3446,-15.694,-56.1951
0.1074,-0.1167,1.2227,-22.522,-98.0225,-9.5215,-6.449,-16.1829,-56.1786
0.0864,-0.0859,1.2534,-28.5645,-100.4028,-17.0288,-6.5808,-16.6827,-56.1896
0.062,-0.1035,1.2383,-27.1606,-102.7832,-22.7661,-6.7072,-17.2046,-56.239
0.0586,-0.127,1.2197,-20.2026,-107.1777,-22.644,-6.806,-17.7374,-56.3159
0.0693,-0.1128,1.2358,-16.2964,-111.8164,-22.0947,-6.8774,-18.2977,-56.3654
0.0815,-0.0786,1.2661,-14.0991,-116.9434,-23.8647,-6.9379,-18.88,-56.4093
0.0771,-0.0229,1.291,-14.8315,-120.7886,-26.1841,-6.9928,-19.4897,-56.4642
0.064,-0.0005,1.3076,-15.564,-124.0845,-28.5645,-7.0422,-20.116,-56.5521
0.0557,0.0068,1.3403,-19.2261,-126.6479,-32.1045,-7.1027,-20.7587,-56.629
0.0322,0.0156,1.3599,-22.3389,-128.9063,-37.1704,-7.1796,-21.4124,-56.7279
0.0161,-0.0327,1.335,-16.0522,-134.5215,-34.729,-7.2345,-22.0935,-56.8323
-0.0181,-0.0601,1.334,-5.127,-143.7988,-27.4048,-7.2565,-22.8021,-56.9257
-0.0635,-0.0493,1.3628,5.0049,-154.2969,-23.1934,-7.2345,-23.5602,-56.9531
-0.1187,-0.0078,1.4546,7.4463,-162.4756,-25.0854,-7.196,-24.3677,-56.9696
-0.1797,0.0127,1.5444,2.2583,-168.5181,-27.5269,-7.1576,-25.2081,-57.0026
-0.2266,0.021,1.5713,-0.4272,-175.5981,-26.6724,-7.1411,-26.0815,-57.052
-0.2617,0.04,1.5732,3.479,-183.8989,-25.3296,-7.1246,-26.9934,-57.074
-0.2993,0.0742,1.6025,7.5073,-193.8477,-24.7803,-7.0917,-27.9492,-57.074
-0.353,0.1367,1.688,5.8594,-203.064,-29.2358,-7.0532,-28.9545,-57.085
-0.4399,0.1973,1.7778,0.061,-209.6558,-39.5508,-7.0093,-30.0037,-57.1619
-0.5459,0.2563,1.8711,-9.8877,-211.1816,-52.7344,-6.9708,-31.0803,-57.2882
